Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3519907;Interior;Iepê;953;26;;;
3520004;Interior;Igaraçu do Tietê;2965;67;;;
3520103;Interior;Igarapava;1380;92;;;
3520202;Interior;Igaratá;2147;36;;;
3520301;Interior;Iguape;2643;113;;;
3520400;Interior;Ilhabela;7424;42;;;
3520426;Interior;Ilha Comprida;1395;44;;;
3520442;Interior;Ilha Solteira;2896;101;;;
3520509;Interior;Indaiatuba;27481;728;;;
3520608;Interior;Indiana;251;9;;;
3520707;Interior;Indiaporã;418;13;;;
3520806;Interior;Inúbia Paulista;503;16;;;
3520905;Interior;Ipaussu;2308;45;;;
3521002;Interior;Iperó;3145;54;;;
3521101;Interior;Ipeúna;775;20;;;
3521150;Interior;Ipiguá;1076;27;;;
3521200;Interior;Iporanga;585;6;;;
3521309;Interior;Ipuã;2134;62;;;
3521408;Interior;Iracemápolis;4673;97;;;
3521507;Interior;Irapuã;946;29;;;
3521606;Interior;Irapuru;717;36;;;
3521705;Interior;Itaberá;2399;64;;;
3521804;Interior;Itaí;3043;76;;;
3521903;Interior;Itajobi;2597;57;;;
3522000;Interior;Itaju;552;8;;;
3522109;Interior;Itanhaém;6925;328;;;
3522158;Interior;Itaoca;285;8;;;
3522208;RMSP (exceto capital);Itapecerica da Serra;8154;459;;;
3522307;Interior;Itapetininga;17607;551;;;
3522406;Interior;Itapeva;10837;431;;;
3522505;RMSP (exceto capital);Itapevi;12949;698;;;
3522604;Interior;Itapira;9625;315;;;
3522653;Interior;Itapirapuã Paulista;562;4;;;
3522703;Interior;Itápolis;5724;164;;;
3522802;Interior;Itaporanga;1676;52;;;
3522901;Interior;Itapuí;1594;41;;;
3523008;Interior;Itapura;310;14;;;
3523107;RMSP (exceto capital);Itaquaquecetuba;20210;1001;;;
3523206;Interior;Itararé;6248;246;;;
3523305;Interior;Itariri;1364;42;;;
3523404;Interior;Itatiba;12544;213;;;
3523503;Interior;Itatinga;2871;56;;;
3523602;Interior;Itirapina;1654;38;;;
3523701;Interior;Itirapuã;324;8;;;
3523800;Interior;Itobi;615;22;;;
3523909;Interior;Itu;23102;494;;;
3524006;Interior;Itupeva;6696;144;;;
3524105;Interior;Ituverava;2659;148;;;
3524204;Interior;Jaborandi;578;20;;;
3524303;Interior;Jaboticabal;7433;118;;;
3524402;Interior;Jacareí;25334;762;;;
3524501;Interior;Jaci;1356;28;;;
3524600;Interior;Jacupiranga;1698;50;;;
3524709;Interior;Jaguariúna;6411;111;;;
3524808;Interior;Jales;7210;261;;;
3524907;Interior;Jambeiro;417;13;;;
3525003;RMSP (exceto capital);Jandira;8129;323;;;
3525102;Interior;Jardinópolis;4232;137;;;
3525201;Interior;Jarinu;3085;75;;;
3525300;Interior;Jaú;12721;552;;;
